,actor,grade_avg,grade_sum,appearances,gender,year_avg,birth_year,main_genre,2nd_genre,director,2nd_director,treatment,propensity_score
870,Gary_Graver,0.84956518,3.398260721,4,M,2018.333333,1938,Drama,,Gary_Graver,Paul_Hunt,0,0.362949336
652,Richard_Denning,2.225843388,140.2281335,63,M,1964,1914,Drama,Adventure,Jack_Arnold,Roger_Corman,1,0.344892923
790,Linda_Perry,2.412761486,33.7786608,14,F,2012.714286,1912,Drama,Crime,William_C._McGann,William_Clemens,1,0.354799248
896,Pauline_Moore,2.080247764,22.88272541,11,F,2017.5,1914,Adventure,Western,Joseph_Kane,Albert_H._Kelley,1,0.365197996
645,Gar_Moore,2.632521959,10.53008783,4,M,2015,1920,Drama,Crime,Frederick_De_Cordova,Luigi_Zampa,0,0.344305545
708,John_Hamilton,1.644950501,65.79802004,40,M,1974.5,1887,Adventure,Romance,Charles_C._Coleman,William_Beaudine,1,0.349131331
775,Pauline_Frederick,1.710437683,61.57575659,36,F,1926,1883,Drama,Crime,Phil_Rosen,Henry_King,1,0.353029452
712,Damien_Bonnard,3.008199681,30.08199681,10,M,1986.272727,1978,Drama,Crime,Anne_Fontaine,Alain_Guiraudie,1,0.350751542
747,Dorothy_Gulliver,1.501382033,27.02487659,18,F,1968,1908,Drama,Mystery,Albert_S._Rogell,B._Reeves_Eason,1,0.352898794
816,Broderick_Crawford,2.574036032,241.959387,94,M,1964,1911,Drama,Crime,Al_Adamson,Lloyd_Bacon,1,0.356783252
772,Ruth_Clifford,1.156375544,10.40737989,9,F,2011,1900,Drama,Adventure,Phil_Rosen,Clarence_Brown,1,0.353029452
765,Owen_Davis_Jr.,1.907839817,19.07839817,10,M,1954.131148,1907,Drama,Crime,Phil_Rosen,Ben_Holmes,1,0.353029452
844,Alkis_Giannakas,1.292973945,10.34379156,8,M,2011,1941,Drama,Romance,Kostas_Karagiannis,Dimis_Dadiras,0,0.359391242
815,Robert_Dix,1.511941474,45.35824422,30,M,1979,1935,Drama,Horror,Al_Adamson,Ken_Osborne,1,0.356783252
745,Robert_Armstrong,2.017768763,447.9446655,222,M,1941.777778,1890,Drama,Crime,Albert_S._Rogell,Ernest_B._Schoedsack,1,0.352898794
891,Hisashi_Igawa,2.923099748,40.92339647,14,M,1976.25,1936,Drama,Adventure,Yôji_Yamada,Hiroshi_Teshigahara,1,0.363854598
873,Steve_Railsback,2.181068588,78.51846916,36,M,1998,1945,Drama,Thriller,Gary_Graver,Tobe_Hooper,1,0.362949336
892,Yui_Natsukawa,2.993804341,38.91945644,13,F,2012,1968,Drama,Mystery,Yôji_Yamada,Hirokazu_Koreeda,1,0.363854598
902,Rick_Jason,2.105108659,29.47152123,14,M,1959,1923,Drama,Romance,Frank_Tashlin,Stuart_Heisler,1,0.365245894
763,Addison_Richards,2.246082633,65.13639636,29,M,2003.4,1902,Drama,Adventure,Phil_Rosen,Arch_Oboler,1,0.353029452
914,William_Gargan,2.126634226,223.2965937,105,M,1922.5,1905,Drama,Crime,William_C._Thomas,Otto_Brower,1,0.365837001
631,Lenita_Lane,1.707686321,3.415372643,2,F,1977.5,1901,Drama,Romance,Crane_Wilbur,Sam_Newfield,0,0.340435381
926,Jean_Simmons,3.230174413,193.8104648,60,F,1973.142857,1929,Drama,Comedy,Lloyd_Bacon,Delbert_Mann,1,0.366913796
888,Kazuko_Yoshiyuki,2.703885881,56.78160349,21,F,2018,1935,Drama,Crime,Yôji_Yamada,Nagisa_Ôshima,1,0.363854598
843,Giorgos_Moutsios,1.518466989,16.70313688,11,M,2018.666667,1932,Drama,Romance,Kostas_Karagiannis,Dimis_Dadiras,1,0.359391242
913,Eileen_O'Malley,1.19478969,1.19478969,1,F,2015.333333,1917,Adventure,,William_A._Wellman,,0,0.365677106
